Komentar,Nama Pengguna,Rating,Tanggal,Nama Aplikasi,Sentimen
tolong untuk developer update gamenya ukurannya mohon banget di kecilkan lagi ya please saya sampe harus hapus data gamenya biar penyimpanan saya tidak penuh🙏,Dimas Widianto,2,2025-04-11 05:47:35,Honkai Star Rail,Negatif
kecewa rate of mulu 🗿 dan minimal dikasih tombol skip pas story lah dan yap memang agak gimana yang ngasih bintang satu itu skill issue apalah powercrep main tinggal main,Ilham Mujaka,5,2025-04-11 05:45:08,Honkai Star Rail,Positif
Gamenya bagus,Tetetapi Saaansss,5,2025-04-11 05:39:37,Honkai Star Rail,Positif
game ini bagus hoyoverse gausah peduli orang fomo,Only daffa,1,2025-04-11 05:39:23,Honkai Star Rail,Negatif
"Byk bansos, game santai seru",papale papale,5,2025-04-11 05:29:23,Honkai Star Rail,Positif
aku suka🥰,Rev 13,5,2025-04-11 05:27:41,Honkai Star Rail,Positif
bagus,Raka,5,2025-04-11 05:26:03,Honkai Star Rail,Positif
"Design karakter keren, story bagus cuma agak terlalu banyak hal yang harus dipahami secara Lore dan lama yang membuat player bisa bosan. Overall dari segi gameplay juga aman aja, masalah powercreep dan global passive ini memang topik hangat, dan hoyo gaboleh diam untuk hal ini, demi keberlangsungan game dan komunitas yang sehat.",yabes Salem,5,2025-04-11 05:22:42,Honkai Star Rail,Positif
suka dengan desain character nya:3,chiisae.,5,2025-04-11 05:01:06,Honkai Star Rail,Positif
w game,No Account,5,2025-04-11 04:58:25,Honkai Star Rail,Positif
Bagussss bangett,Sandro Yuan Sykenario,5,2025-04-11 04:56:24,Honkai Star Rail,Positif
bantuin naikin rating.....🥱,iReady,5,2025-04-11 04:43:10,Honkai Star Rail,Positif
"ini bukan review melainkan nge Roasting untuk yang mempermasalahkan global passive, jadi gini emang knp kalian masalahin global passive emang sengaruh itu hah gw mendengar ada nya global passive b aja gk masalah. kalian mempermasalahin gk bisa nge lengkapain bintang di moc,pf,as,dvu kan? udh ngaku aja kalau gk suka sama pendapat pindah aja game RPG turn base lain atau gk RPG souls like kayak elden ring kalau kalian ngeluh pindah ke game RPG berkualitas selain buatan hoyoverse.",Ace Of Spade,5,2025-04-11 04:40:45,Honkai Star Rail,Positif
"game nya seru banget, apa lagi dengan adanya character castorice dan hadiah hadiah yang di beri membuat makin betah main game ini. semoga kedepan nya honkai star rail semakin banyak bansos dan character character yang bagus",metha rahmawati,5,2025-04-11 04:22:14,Honkai Star Rail,Positif
story nya seru cuy,Fardhan Abdurohim,5,2025-04-11 04:15:51,Honkai Star Rail,Positif
bagus,Yunita Pujiastuti,5,2025-04-11 04:15:37,Honkai Star Rail,Positif
no comment game absolute cinema,Rifky Wldan,5,2025-04-11 03:55:09,Honkai Star Rail,Positif
SEHAT SEHAT GAME BAIK,Asep Kasep,5,2025-04-11 03:49:41,Honkai Star Rail,Positif
Castorice.... will be back right?? 🥲,Michael Tampubolon,5,2025-04-11 03:49:13,Honkai Star Rail,Positif
dawei star rail,Ronal A9,1,2025-04-11 03:30:38,Honkai Star Rail,Negatif
seru banget 👍,Ridho Zaini,5,2025-04-11 03:18:24,Honkai Star Rail,Positif
anjir padahal banyak bansos,Reyken Raditya,5,2025-04-11 03:05:37,Honkai Star Rail,Positif
Ok kalo ini storynya bagus tapi saya Rungkat 2× di 2 akun,The Website black,5,2025-04-11 03:01:02,Honkai Star Rail,Positif
good game love it👍🏻,Kyura,5,2025-04-11 02:54:23,Honkai Star Rail,Positif
"story banyak yapping , cutscene dikit ,kurang improve kamera move di story kukira kalah rate off bisa milih char nya ,ternyata cuman ganti daftar charnya",nekoyaz,1,2025-04-11 02:42:32,Honkai Star Rail,Negatif
"Buat lu semua yang spam B1, uninstall aja. Masih ada yang mau main dan dowload ini game",Azvin Rama Kahar,5,2025-04-11 02:33:24,Honkai Star Rail,Positif
Game bagus,Kiming Liem,5,2025-04-11 02:26:22,Honkai Star Rail,Positif
kasih B5 tapi pengen keluhan.nya di denger developer.. TOLOL banget pemikiran BOCAH.. ya mana mau developer dengerin keluhan kalau ngasih B5 bego 😂😂😂😂😂 selamat berjuang deh sama DEV kek gini,F Shirou,1,2025-04-11 02:19:41,Honkai Star Rail,Negatif
"Yang ngasih bintang satu fomo semua, sadar lu gk main gamenya tapi ngasih bintang satu biar apa gitu hah??",MUH RIZKI,5,2025-04-11 02:17:03,Honkai Star Rail,Positif
"kenapa sih Quest Story nya harus di pisah gk di sejajarin aja kan jadi bingung harus ngerjain yg mana dulu, biar sesuai sama Alur Ceritanya!",Kneru Ely,5,2025-04-11 01:49:19,Honkai Star Rail,Positif
pensi aja gk ramah ges dan gk worth waktu kalian tambahin rasain dah tuh filler anniversary wkwkw edit: wkwkw ngasi bot b5 biar naik rating lucu bat,Indra Permana Putra,1,2025-04-11 01:44:17,Honkai Star Rail,Negatif
charnya bagus bagus,Danisa Olivia,5,2025-04-11 01:43:42,Honkai Star Rail,Positif
happy birthday 2nd anniversary 🥰,Muhammad Ihsan,5,2025-04-11 01:40:55,Honkai Star Rail,Positif
"Bgs bgt jing game ni, g tau knp kecanduan maen hsr setelah download iseng² gacha pas banner tribbie malah dapet di pity 17 dan sekarang pas banner Casto malah dpt di pity 9 dermawan bgt jirrrrrrrrrr jdi mkn ska ni game dan disain karakter nya bagus² bansos nya juga banyak gw mh g peduli global passive dan powercreep yg penting enjoy game ny makasih hoyo udh buat ni game😋😋😋😋😋😋🙏🙏🙏🙏",Monik Adelina,5,2025-04-11 01:03:35,Honkai Star Rail,Positif
Best,San Off,5,2025-04-11 01:01:47,Honkai Star Rail,Positif
"Tim Pengembang Honkai Star Rail, mohon pertimbangkan untuk mengoptimalkan ukuran game dan penggunaan data. Ukurannya saat ini sangat besar dan cepat menghabiskan kuota internet saya. Terima kasih. 🙏",Medeia Belirds,5,2025-04-11 00:47:31,Honkai Star Rail,Positif
"di saat saya login selalu muncul tulisan ""jaringan eror"" ntah apa masalahnya kalau developer tau tolong bantuanya",Ayyub Saputra,1,2025-04-11 00:39:05,Honkai Star Rail,Negatif
gacha ampas farming relic pun ampas udah mau jadi malah kena power creep 💩 lah,Imaaduddin Al Qassam,1,2025-04-11 00:35:29,Honkai Star Rail,Negatif
game baik :),Rifqy Fadhliatullah,5,2025-04-11 00:26:29,Honkai Star Rail,Positif
"story, scene, explore dunianya bagus keren yg kurang disini creep nya terlalu tebal hingga susah untuk player f2p. Jadi tolong untuk di optimalkan lagi agar seluruh player dapat menikmati game",Zhay cihuyy,5,2025-04-11 00:20:24,Honkai Star Rail,Positif
crazy power creep🤮,Arrayan Lawrence友,1,2025-04-11 00:20:03,Honkai Star Rail,Negatif
main dari awal rilis sempet vakum karna hilang akun tapi balik buat main lagi tapi suka aneh sama fandom yang terlalu fanatik dan nuntut game berlebihan pedahal dari awal hsr juga udh kasih banyak event sama bansos yang gk sedikit,Regis Marvel,5,2025-04-11 00:12:44,Honkai Star Rail,Positif
game baik nyatanya aku dpt double 😇,Aldi Dermawan,5,2025-04-10 23:58:20,Honkai Star Rail,Positif
sipp mantap baru muncul castorice langsung di kasih pokoknya bintang 5+🗿👍,ファイz,5,2025-04-10 23:37:06,Honkai Star Rail,Positif
game baik ga kikir kek genshin apalagi gacha ku sering hoki 😋,Ridan Trianda,5,2025-04-10 23:31:49,Honkai Star Rail,Positif
mantapp,Aya Azzahra,5,2025-04-10 23:20:01,Honkai Star Rail,Positif
Sehat² game baik 🗿,Evander Axell,5,2025-04-10 23:19:26,Honkai Star Rail,Positif
mantap,Art najib,5,2025-04-10 23:18:58,Honkai Star Rail,Positif
"TERIMA KASIH GAME BAIK, SUDAH MEMBERI SAYA CASTORICE PITY 7",Grazian Zarell,5,2025-04-10 23:11:53,Honkai Star Rail,Positif
Kasih saya Castorice di pity 20 hoyo,Muhammad Gazy Affin EKA Saputra,5,2025-04-10 23:08:29,Honkai Star Rail,Positif
"What a Experience! Thank you Hoyoverse. so many reward, and amazing story with epic cutscene. In the name of F2P, I'm very happy to take more time to play HSR.",M. Fadli Ramadhan,5,2025-04-10 22:54:13,Honkai Star Rail,Positif
ini kenapa tiba-tiba banyak error ya?,Arina Husna Kamila,2,2025-04-10 22:51:34,Honkai Star Rail,Negatif
Plis perbaiki bug stuck loading android karena itu sangat mengganggu,Muhammad Arpani,5,2025-04-10 22:51:13,Honkai Star Rail,Positif
"gacha nya sudah mulai ampas, kemarin dapat nya himeko sekarang dapat himeko lagi, tidak tau gimana sistem gacha nya",刘Yuu,1,2025-04-10 22:47:37,Honkai Star Rail,Negatif
"Hoyo Hp inflation Udah ke lewat batas, masa Hp floor 12 3.0 sama kayak floor 10 3.1. dan lambatkan powercreep nya powercreep itu gapapa tapi jangan cepet baget masa belum 9 patch udah jelek banget (di genshin&zzz tidak seperti itu). Itu aja, selainnya bagus untuk saat ini, liat dulu 3.2. story 3.2 ampas banget, yang bagus cuma plot twist mc, part anaxa, sama part AE dan the herta. sisanya ampas dan cuma jualan castorice doang. -1 bintang (bintang 5 => bintang 4)",Putra M.H.S,4,2025-04-10 22:25:32,Honkai Star Rail,Positif
aku suka game nya cuma sayang aja aku ngg bisa terlalu lama karna hpku ngg kuat lagi aku bermain hsr cuma 2 bulan tapi tetep seru aku bisa merasakan senangnya,NAKANO MIKU,5,2025-04-10 22:16:46,Honkai Star Rail,Positif
