Komentar,Nama Pengguna,Rating,Tanggal,Nama Aplikasi,Sentimen
Sangat membantu utk mengetahui cuaca dan gempa yg ada di seluruh kota di Indonesia jdi lebi waspada krn ada notif yg di informasikan,Mersi budiono,5,2024-11-15 21:27:21,InfoBMKG,Positif
Ut cuaca cukup akurat,bambang agus sudarmaji,4,2024-11-15 10:18:46,InfoBMKG,Positif
Kenapa saya kasih bintang empat 🌟🌟🌟🌟 Karena ini pemerintah yang boleh pakek jadi saya kasih bintang empat 🌟🌟🌟🌟,komang pasek rusnanda suantara,4,2024-11-15 03:40:25,InfoBMKG,Positif
"Saya mau kasih saran, untuk notifikasi gempa sebaiknya hanya di berikan yang dekat dengan lokasi kita berada, selama ini semua notifikasi gempa masuk walaupun lokasinya sangat jauh dari kita.Terimakasih",Asep Kurniawan,5,2024-11-14 08:44:28,InfoBMKG,Positif
Biasa,Mustamin Musli,5,2024-11-13 10:17:23,InfoBMKG,Positif
Mantap,Ujang Adi,5,2024-11-12 11:59:02,InfoBMKG,Positif
Untuk informasi kualitas udara mohon diperluas lagi.khususnya daerah yang sering terjadi kebakaran hutan.untuk tampilan cuaca mohon dilengkapi lagi seperti aplikasi-aplikasi lain.,pitoyev,3,2024-11-12 10:26:44,InfoBMKG,Netral
Sangat bermanfaat,presidium perwira,5,2024-11-12 10:06:08,InfoBMKG,Positif
"BMKG handal, Demi Indonesia, Sukses selalu...Aamiin🤲",Adi Nugroho,5,2024-11-10 09:33:21,InfoBMKG,Positif
"Min, kalok prediksi cuaca yg bener dong, katanya bakal ujan tpi gak ujan2 nih daerah denpasar Php lu min",Abi Virdiansyah,1,2024-11-10 08:29:25,InfoBMKG,Negatif
"Aplikasinya cukup bagus. Cuma sedikit saran aja. D bagian info cuaca, pengguna dapat berpartisipasi memberikan info cuaca yang terlihat oleh pengguna. Tapi di fitur itu pengguna hanya bisa memilih satu saja fenomena yang ada. Sedangkan terkadang ada dua atau tiga fenomena cuaca yang bisa terjadi dalam satu waktu. Misal berawan, hujan ringan, angin kencang. Jadi mungkin bisa d buat pengguna dapat memilih lebih dari 1 fenomena cuaca. Terimakasih, semoga BMKG kita semakin maju ya",Niken Nutricillia,5,2024-11-10 07:50:44,InfoBMKG,Positif
aplikasi ini bisa mendeteksi gempa,elisa astaria,5,2024-11-09 23:49:56,InfoBMKG,Positif
A.S,Alan Seme,5,2024-11-09 05:37:20,InfoBMKG,Positif
",👍",Wahyudi Yudi,5,2024-11-08 13:33:24,InfoBMKG,Positif
"Buat notifikasi pop up saat gempa terjadi di wilayah yang sesuai kita pilih. Jadi nanti kalo ada gempa yang di wilayah terkena dampak itu akan dapat pop up, sedangkan wilayah yang tidak kena dampak hanya notifikasi biasa, dan juga ditambahan suara notifikasi peringatan yang berbeda dengan notif biasa.",Dzaky Dwi A,3,2024-11-08 06:06:29,InfoBMKG,Netral
"Untuk keseluruhan, sudah bagus. Saran saya tambah mode gelap ke aplikasi ini.",09_I Putu Indra Adiprawira_XH,5,2024-11-07 13:31:39,InfoBMKG,Positif
Cukup bagusss,Ali Sabet,4,2024-11-07 13:12:37,InfoBMKG,Positif
Cukup bagus,Allam Tanjung,5,2024-11-07 03:34:57,InfoBMKG,Positif
ok,punnalipu mechanical,5,2024-11-07 02:30:47,InfoBMKG,Positif
Bagus.twrima kasih atas INFONYA,M.SYAIFUL LUQONI,5,2024-11-07 02:02:39,InfoBMKG,Positif
خزغة٥ م،، ٥زع,Ambyak Taflikhul,4,2024-11-05 12:53:22,InfoBMKG,Positif
Cuaca Terbaik 😇,Sucian Rizky Ramadhani,5,2024-11-05 11:20:13,InfoBMKG,Positif
Aplikasi sampah disini hujan tapi info dari BMKG GK hujan GK berguna,Pur Yadi,1,2024-11-04 11:32:30,InfoBMKG,Negatif
Aplikasi nya sangat informatif dan membantu,Sjaiful Hadi,5,2024-11-04 06:30:37,InfoBMKG,Positif
sangat membantu sekali pada setiap kondisi.,abdul kadir,5,2024-11-04 03:59:07,InfoBMKG,Positif
Ok,Sulaiman Sulaiman,5,2024-11-04 03:58:25,InfoBMKG,Positif
"Selalu mengikuti,untuk mendapatkan info terkini tentamg fenomena iklim",Wiguna Lalu,4,2024-11-03 12:39:32,InfoBMKG,Positif
Bagus sekali,Tgk Al-Bayan,5,2024-11-03 08:27:20,InfoBMKG,Positif
Mantap dan pas sesuai prediksi,Zilong Maraton,5,2024-11-03 06:25:42,InfoBMKG,Positif
mantap beritanya,Dean Bisa,5,2024-11-03 03:23:40,InfoBMKG,Positif
Oke,Nita Lestari Ningsih,4,2024-11-03 00:00:37,InfoBMKG,Positif
RIVALDI RISTIANDI PRATAMA,Dadangsuhendi Depe,5,2024-11-02 21:45:37,InfoBMKG,Positif
Sangat bermanfaat.,samsul makarif,5,2024-11-02 14:27:46,InfoBMKG,Positif
Berkat kalian saya jadi tahu informasi tentang cuaca dan cara menanganinya,Sharah Mutamimmah,5,2024-11-02 11:21:14,InfoBMKG,Positif
Aplikasinya Bagus Tolong Perbaiki Yang Kondisi Cuaca Nya Yang Cerah Tanpa Awan Gak Ada Lambang Matahari Gitu Tolong Perbaiki Lah,SATRIA Pratama,5,2024-11-02 08:02:28,InfoBMKG,Positif
Wow keren 🥳🥳🥳,Mohammad Saiun,5,2024-11-02 07:50:15,InfoBMKG,Positif
Mantap,mhflvi_,5,2024-11-02 05:52:55,InfoBMKG,Positif
Ini kenapa kok gak bisa tampil ke menu utama ya stuck di logo aja,Deni Saputra,1,2024-11-02 04:15:49,InfoBMKG,Negatif
"Tk,s",Kasi Yanto,5,2024-11-01 19:46:04,InfoBMKG,Positif
"halo, bisakah tambahkan mode gelap?",M. Iqbal,5,2024-11-01 19:08:23,InfoBMKG,Positif
Saya suka ini,Tri Wahyudi,5,2024-11-01 15:18:21,InfoBMKG,Positif
Mantap,Aulia Megaputri,5,2024-11-01 11:41:24,InfoBMKG,Positif
"Aplikasi yang bagus, semoga bisa mengupdate lebih akurat lagi perihal cuaca setempat",Randa Okta,5,2024-11-01 08:56:50,InfoBMKG,Positif
